"Dewater","Spawn_Flows","Prop_dewater","Boards","Run"
17000,6000,NA,"in","Fall"
15000,6000,NA,"in","Fall"
14000,6000,NA,"in","Fall"
13000,6000,NA,"in","Fall"
12000,6000,NA,"in","Fall"
11000,6000,NA,"in","Fall"
10000,6000,NA,"in","Fall"
9000,6000,NA,"in","Fall"
8000,6000,NA,"in","Fall"
7500,6000,NA,"in","Fall"
7000,6000,NA,"in","Fall"
6500,6000,NA,"in","Fall"
6000,6000,NA,"in","Fall"
5500,6000,0.01,"in","Fall"
5250,6000,0.02,"in","Fall"
5000,6000,0.03,"in","Fall"
4750,6000,0.04,"in","Fall"
4500,6000,0.06,"in","Fall"
4250,6000,0.08,"in","Fall"
4000,6000,0.1,"in","Fall"
3750,6000,0.12,"in","Fall"
3500,6000,0.15,"in","Fall"
3250,6000,0.18,"in","Fall"
29000,6500,NA,"in","Fall"
27000,6500,NA,"in","Fall"
25000,6500,NA,"in","Fall"
23000,6500,NA,"in","Fall"
21000,6500,NA,"in","Fall"
19000,6500,NA,"in","Fall"
17000,6500,NA,"in","Fall"
15000,6500,NA,"in","Fall"
14000,6500,NA,"in","Fall"
13000,6500,NA,"in","Fall"
12000,6500,NA,"in","Fall"
11000,6500,NA,"in","Fall"
10000,6500,NA,"in","Fall"
9000,6500,NA,"in","Fall"
8000,6500,NA,"in","Fall"
7500,6500,NA,"in","Fall"
7000,6500,NA,"in","Fall"
6500,6500,NA,"in","Fall"
6000,6500,0.01,"in","Fall"
5500,6500,0.03,"in","Fall"
5250,6500,0.04,"in","Fall"
5000,6500,0.05,"in","Fall"
4750,6500,0.07,"in","Fall"
4500,6500,0.09,"in","Fall"
4250,6500,0.11,"in","Fall"
4000,6500,0.14,"in","Fall"
3750,6500,0.16,"in","Fall"
3500,6500,0.19,"in","Fall"
3250,6500,0.22,"in","Fall"
29000,7000,NA,"in","Fall"
27000,7000,NA,"in","Fall"
25000,7000,NA,"in","Fall"
23000,7000,NA,"in","Fall"
21000,7000,NA,"in","Fall"
19000,7000,NA,"in","Fall"
17000,7000,NA,"in","Fall"
15000,7000,NA,"in","Fall"
14000,7000,NA,"in","Fall"
13000,7000,NA,"in","Fall"
12000,7000,NA,"in","Fall"
11000,7000,NA,"in","Fall"
10000,7000,NA,"in","Fall"
9000,7000,NA,"in","Fall"
8000,7000,NA,"in","Fall"
7500,7000,NA,"in","Fall"
7000,7000,NA,"in","Fall"
6500,7000,0.01,"in","Fall"
6000,7000,0.02,"in","Fall"
5500,7000,0.04,"in","Fall"
5250,7000,0.06,"in","Fall"
5000,7000,0.07,"in","Fall"
4750,7000,0.09,"in","Fall"
4500,7000,0.12,"in","Fall"
4250,7000,0.14,"in","Fall"
4000,7000,0.17,"in","Fall"
3750,7000,0.19,"in","Fall"
3500,7000,0.23,"in","Fall"
3250,7000,0.26,"in","Fall"
29000,7500,NA,"in","Fall"
27000,7500,NA,"in","Fall"
25000,7500,NA,"in","Fall"
23000,7500,NA,"in","Fall"
21000,7500,NA,"in","Fall"
19000,7500,NA,"in","Fall"
17000,7500,NA,"in","Fall"
15000,7500,NA,"in","Fall"
14000,7500,NA,"in","Fall"
13000,7500,NA,"in","Fall"
12000,7500,NA,"in","Fall"
11000,7500,NA,"in","Fall"
10000,7500,NA,"in","Fall"
9000,7500,NA,"in","Fall"
8000,7500,NA,"in","Fall"
7500,7500,NA,"in","Fall"
7000,7500,0.01,"in","Fall"
6500,7500,0.02,"in","Fall"
6000,7500,0.04,"in","Fall"
5500,7500,0.06,"in","Fall"
5250,7500,0.08,"in","Fall"
